# 발제 소재 이력 (매일 자동 갱신) — 최근 14일치를 확인해 동일 기업조합·동일 업종 반복을 피할 것
# 형식: 날짜 | 관(정책·기관) 소재 | 기업 소재(교차형은 조합 기업명 명시)

2026-07-22 | 총리 오찬간담회(중기부), 기술보증기금 R&D 사업화보증, 소진공 대환대출 점검, 국회예산정책처 결산분석, 자영업자 고용보험 17개시도 | 한국콜마·코스맥스(ODM 목표주가), 코웨이·청호나이스·SK매직(얼음정수기 교차형), KCC·노루페인트·강남제비스코(도료가격 교차형), 교원라이프·웅진프리드라이프·보람상조(상조 브랜드평판 교차형), 에스원·SK쉴더스·KT텔레캅(보안 실적 교차형)
2026-07-22(2회차) | 공정위 하도급실태조사+중기중앙회 공정거래활성화위, 국회 산자중기위 법안48건 후속점검, 중진공 정책자금부실 국감후속, 벤처투자톡톡(한국벤처캐피탈협회), 공영홈쇼핑vs홈앤쇼핑 브랜드평판 | 경동나비엔·귀뚜라미(냉방사업 교차형), 패스트파이브·스파크플러스(공유오피스 상장경쟁), SAMG엔터·초이락컨텐츠컴퍼니(키즈IP 온도차), 주성엔지니어링(반도체장비 실적-주가 괴리), 잡코리아·사람인·인크루트(AI채용 교차형)
2026-07-22(3회차) | 신용보증재단중앙회 특별업무제안공모+채무감면, 한국산업단지공단 스마트그린산단 협약후속확인, 이노비즈vs메인비즈 인증강화방향(교차형), 중기옴부즈만 규제혁신포상 후속확인, 벤처투자조합 의무기한 3→5년 연장(7.1시행) | 위닉스·신일전자(장마철 제습기특수 교차형), 한샘·현대리바트(영업이익 100억vs10억 교차형), 웅진씽크빅·대교·에듀윌(학습지vs성인교육 교차형), 텔레칩스(SoC매출 사상최대 전망 검증), 케이엠더블유(통신장비 브랜드평판 2위, RFHIC와 격차)
2026-07-22(14시) | TIPA 글로벌협력형R&D vs 창업진흥원 KSGC(해외진출 접근차이), KOSBI 육아휴직제안 vs 소상공인연합회, 동반성장위 지수개편·상생금융지수 vs 공정위 유통가맹실태조사, 한국여성경제인협회(9600개사) vs 한국여성벤처협회(여성기업주간), 중견기업연합회 CFO협의회 vs 중기중앙회(중견승격 지원공백) | 바디프랜드·세라젬(안마의자 경영권분쟁 vs 헬스케어확장), 시몬스침대·에이스침대(매출1위 vs 브랜드평판1위), LX하우시스·동화기업(건자재 흑자전환 vs 순손실), 유한킴벌리·깨끗한나라(AI수요예측 vs 무인물류), 대동·TYM(인재영입 vs 북미집중)
2026-07-23(06시) | 감사원 정책감사폐지·특별조사국해체 vs 국회 산자중기위 감독공백, TIPA 탄소감축R&D(직접출연) vs 기술보증기금(보증형), 벤처기업협회 규제건의 vs 한국벤처투자 GP의무완화(7/1시행), 최저임금위원회 공익위원 vs 소상공인연합회·중기중앙회(1만700원 결정), 중진공 정책자금4.43조원(직접대출) vs 신용보증재단중앙회(지역보증45.2조원) | 쿠쿠·쿠첸(밥솥 1분기실적 교차형), 비상교육·메가스터디교육(교육출판 1분기실적 교차형), 웰크론알레르망·이브자리(냉감침구 여름특수 교차형), 한화세미텍·한미반도체(HBM장비 1분기부진+특허소송 교차형), 한솔제지·무림페이퍼(제지업 원가압박vs담합과징금 교차형)
2026-07-23(14시) | 소상공인시장진흥공단 AI활용지원사업 vs TIPA 스마트공장 우수사례 컨소시엄, 한국벤처캐피탈협회 대만·베트남MOU vs 한국산업단지공단 KICEF2026, 중기부 산하 11개기관 브랜드평판(소진공2위vsTIPA·KOSBI·신용보증재단중앙회 하위권), 중기중앙회 하반기경기전망개선 vs 소진공 SBSI하락, AI공공조달완화 vs 로봇스타트업 실증구매프로젝트 | 레고코리아·손오공·모나미(완구문구 교차형), 휴롬·락앤락(주방가전 신사업vs체질개선 교차형), 삼표·유진그룹(레미콘 특수제품vs미디어진출 교차형), 글로벌세아·한세실업(의류OEM 제지다각화vs생산기지재편 교차형), 에이피알·한국콜마(뷰티 자체브랜드vsODM 교차형)
2026-07-24(06시) | 벤처기업협회부산지회vs중소기업옴부즈만(규제개선채널), 공정위vs중기중앙회(CP평가모델), 창업진흥원vs중진공(모두의창업1만명vs청년창업사관학교950명), 국민권익위vs소진공(달리는국민신문고 현장상담), 공정위vs동반성장위원회(배달플랫폼 과징금vs동반성장평가 겹규제) | 모나미·에넥스·에몬스(애국테마주 급등vs실적부진vs브랜드1위 교차형), 웅진·아주그룹(자산확대 재지정vs지분매각 실탄확보 교차형), 에스에프에이·제주반도체(반도체수혜 견조수주vs투자경고 롤러코스터 교차형), 가온그룹·신성이엔지·루멘스(1분기 사상최대vs적자지속vs체질개선 교차형), 다산네트웍스·일진전기(정책성공시vs실질수주 교차형)
2026-07-24(14시) | 공정위 서면실태조사(가맹본부200곳·점주1만2000명) vs 편의점4사(CU·GS25·이마트24·BGF리테일) 표적 현장조사, 공영홈쇼핑(브랜드평판2위·우수상품공모) vs 홈앤쇼핑(5위·대표8개월공석), 창업진흥원(팁스 지원금8억상향) vs 한국벤처투자(GP의무기한3→5년), 한국산업단지공단(감사원초청 적극행정설명회) vs 소상공인시장진흥공단(감사실장 직무대행인사), 국회산자중기위 법안48건의결(주얼리산업법 제정 vs 반도체특별법 병합) | 디엠에스·주성엔지니어링(대중국vs대국내 장비수혜 교차형), 아이스크림에듀·천재교육(에듀테크 흑자전환vs전통교재 적자 교차형), 신세계까사(까사미아)·이케아(프리미엄맞춤vs초저가할인 교차형), 글라스락(SGC솔루션)·락앤락(해외성장vs국내위기 교차형), 대교·교원구몬(시니어사업다각화vs에듀테크융합 교차형)
2026-07-25(수시21시) | 중기부 K-파운더스커넥트(실리콘밸리) vs 중기중앙회 식품산업위원회, 공정위 하도급법시행령(8/11시행) vs 중견기업연합회(중소회귀427개사), 소상공인시장진흥공단 정책자금(직접대출) vs 신용보증재단중앙회(지역보증45.2조원), 이노비즈협회(확인교육) vs 벤처기업협회(3대정책과제), 중소기업유통센터(브랜드평판8위) vs 홈앤쇼핑(5위) | 케이엠더블유·루멘스(CB풋옵션위기vs사상최대목표 교차형), 경동나비엔·위닉스(스마트홈확장vs제습기특수 교차형), 코웨이·세라젬(해외렌탈확장vs국내헬스케어굳히기 교차형), 초이락컨텐츠컴퍼니·손오공(IP기획vs완구제조유통 교차형), 삼표시멘트·노루페인트(실적견조vs영업이익32%감소 교차형)
2026-08-01(토 09시40분, 주말 수시) | 중기옴부즈만-공정위(규제완화포상vs조사국부활·과징금강화), 소진공-신용보증재단중앙회(AI신용평가8월시범vs전통지역보증), 한국산업단지공단-창업진흥원(KICEF수출전시vs나라장터조달완화), 중소벤처기업연구원(KOSBI)-중기중앙회(업종별생산희비vs최저임금전가호소), 한국여성경제인협회-중소기업유통센터(여성기업주간민간유통협업vs브랜드평판8위) | 코웨이·위닉스(7월브랜드평판1위안정vs69%급등 교차형), 한미반도체·제주반도체(2분기HBM훈풍사상최대vs1분기매출273%급증 교차형), 웅진씽크빅·교원(지자체협업해외전시vs신사업다각화 교차형), SAMG엔터테인먼트·손오공(IP기획판권vs완구제조유통 교차형), 에이스침대·시몬스침대·씰리침대(형제기업양강vs틈새프리미엄 교차형)
